,Study
193,Nowak2015
194,Nowak2015
195,Nowak2015
196,Nowak2015
197,Nowak2015
198,Nowak2015
199,Nowak2015
200,Nowak2015
201,Nowak2015
202,Nowak2015
203,Nowak2015
204,Nowak2015
205,Nowak2015
206,Nowak2015
207,Nowak2015
208,Nowak2015
209,Nowak2015
210,Nowak2015
211,Nowak2015
212,Nowak2015
213,Nowak2015
214,Nowak2015
215,Nowak2015
216,Nowak2015
217,Nowak2015
218,Nowak2015
219,Nowak2015
220,Nowak2015
221,Nowak2015
222,Nowak2015
223,Nowak2015
224,Nowak2015
225,Perez-Santiago
226,Yu
227,Yu
228,Yu
229,Yu
230,Yu
231,Yu
232,Yu
233,Yu
234,Yu
235,Yu
236,Yu
237,Yu
238,Yu
239,Yu
240,Yu
241,Yu
242,Yu
243,Yu
244,Yu
245,Yu
246,Yu
247,Yu
248,Yu
249,Yu
250,Yu
251,Yu
252,Yu
253,Yu
254,Yu
255,Yu
256,Yu
257,Yu
258,Yu
259,Yu
260,Yu
261,Yu
262,Yu
263,Yu
264,Yu
265,Yu
266,Yu
267,Yu
268,Yu
269,Yu
270,Yu
271,Yu
272,Yu
273,Yu
274,Yu
275,Yu
276,Yu
277,Yu
278,Yu
279,Yu
280,Yu
281,Yu
282,Yu
283,Yu
284,Perez-Santiago
285,Perez-Santiago
286,Mutlu
287,Mutlu
288,Mutlu
289,Mutlu
290,Mutlu
291,Mutlu
292,Mutlu
293,Mutlu
294,Mutlu
295,Mutlu
296,Mutlu
297,Mutlu
298,Mutlu
299,Mutlu
300,Mutlu
301,Mutlu
302,Mutlu
303,Mutlu
304,Mutlu
305,Mutlu
306,Mutlu
307,Dubourg
308,Dubourg
309,Dubourg
310,Dubourg
311,Dubourg
312,Dubourg
313,Dubourg
314,Dubourg
315,Dubourg
316,Dubourg
317,Dubourg
318,Dubourg
319,Dubourg
320,Dubourg
321,Dubourg
322,Dubourg
323,Dubourg
324,Dubourg
325,Dubourg
326,Dubourg
327,Dubourg
328,Dubourg
329,Dubourg
330,Dubourg
331,Dubourg
332,Dubourg
333,Dubourg
334,Dubourg
335,Dubourg
336,Dubourg
337,Dubourg
338,Perez-Santiago
339,Perez-Santiago
340,Perez-Santiago
341,Perez-Santiago
342,Perez-Santiago
343,Monaco
344,Monaco
345,Monaco
346,Monaco
347,Monaco
348,Monaco
349,Monaco
350,Monaco
351,Monaco
352,Monaco
353,Monaco
354,Monaco
355,Monaco
356,Monaco
357,Monaco
358,Monaco
359,Monaco
360,Monaco
361,Monaco
362,Monaco
363,Monaco
364,Monaco
365,Monaco
366,Monaco
367,Monaco
368,Monaco
369,Monaco
370,Monaco
371,Monaco
372,Monaco
373,Monaco
374,Monaco
375,Monaco
376,Monaco
377,Monaco
378,Monaco
379,Monaco
380,Monaco
381,Monaco
382,Monaco
383,Monaco
384,Monaco
385,Monaco
386,Monaco
387,Monaco
388,Monaco
389,Monaco
390,Monaco
391,Monaco
392,Monaco
393,Monaco
394,Monaco
395,Monaco
396,Monaco
397,Monaco
398,Monaco
399,Monaco
400,Monaco
401,Monaco
402,Monaco
403,Monaco
404,Monaco
405,Monaco
406,Monaco
407,Monaco
408,Monaco
409,Monaco
410,Monaco
411,Monaco
412,Monaco
413,Monaco
414,Monaco
415,Monaco
416,Monaco
417,Monaco
418,Monaco
419,Monaco
420,Monaco
421,Monaco
422,Monaco
423,Monaco
424,Monaco
425,Monaco
426,Monaco
427,Monaco
428,Monaco
429,Monaco
430,Monaco
431,Monaco
432,Monaco
433,Monaco
434,Monaco
435,Monaco
436,Monaco
437,Monaco
438,Monaco
439,Monaco
440,Monaco
441,Monaco
442,Monaco
443,Monaco
444,Monaco
445,Monaco
446,Monaco
447,Monaco
448,Monaco
449,Serrano-Villar 2017
450,Serrano-Villar 2017
451,Serrano-Villar 2017
452,Serrano-Villar 2017
453,Serrano-Villar 2017
454,Serrano-Villar 2017
455,Serrano-Villar 2017
456,Serrano-Villar 2017
457,Serrano-Villar 2017
458,Serrano-Villar 2017
459,Serrano-Villar 2017
460,Serrano-Villar 2017
461,Serrano-Villar 2017
462,Serrano-Villar 2017
463,Serrano-Villar 2017
464,Serrano-Villar 2017
465,Serrano-Villar 2017
466,Serrano-Villar 2017
467,Serrano-Villar 2017
468,Serrano-Villar 2017
469,Serrano-Villar 2017
470,Serrano-Villar 2017
471,Serrano-Villar 2017
472,Serrano-Villar 2017
473,Noguera-Julian
474,Noguera-Julian
475,Noguera-Julian
476,Noguera-Julian
477,Noguera-Julian
478,Noguera-Julian
479,Noguera-Julian
480,Noguera-Julian
481,Noguera-Julian
482,Noguera-Julian
483,Noguera-Julian
484,Noguera-Julian
485,Noguera-Julian
486,Noguera-Julian
487,Noguera-Julian
488,Noguera-Julian
489,Noguera-Julian
490,Noguera-Julian
491,Noguera-Julian
492,Noguera-Julian
493,Noguera-Julian
494,Noguera-Julian
495,Noguera-Julian
496,Noguera-Julian
497,Noguera-Julian
498,Noguera-Julian
499,Noguera-Julian
500,Noguera-Julian
501,Noguera-Julian
502,Noguera-Julian
503,Noguera-Julian
504,Noguera-Julian
505,Noguera-Julian
506,Noguera-Julian
507,Noguera-Julian
508,Noguera-Julian
509,Noguera-Julian
510,Noguera-Julian
511,Noguera-Julian
512,Noguera-Julian
513,Noguera-Julian
514,Noguera-Julian
515,Noguera-Julian
516,Noguera-Julian
517,Noguera-Julian
518,Noguera-Julian
519,Noguera-Julian
520,Noguera-Julian
521,Noguera-Julian
522,Noguera-Julian
523,Noguera-Julian
524,Noguera-Julian
525,Noguera-Julian
526,Noguera-Julian
527,Noguera-Julian
528,Noguera-Julian
529,Noguera-Julian
530,Noguera-Julian
531,Noguera-Julian
532,Noguera-Julian
533,Noguera-Julian
534,Noguera-Julian
535,Noguera-Julian
536,Noguera-Julian
537,Noguera-Julian
538,Noguera-Julian
539,Noguera-Julian
540,Noguera-Julian
541,Noguera-Julian
542,Noguera-Julian
543,Noguera-Julian
544,Noguera-Julian
545,Noguera-Julian
546,Noguera-Julian
547,Noguera-Julian
548,Noguera-Julian
549,Noguera-Julian
550,Noguera-Julian
551,Noguera-Julian
552,Noguera-Julian
553,Noguera-Julian
554,Noguera-Julian
555,Noguera-Julian
556,Noguera-Julian
557,Noguera-Julian
558,Noguera-Julian
559,Noguera-Julian
560,Noguera-Julian
561,Noguera-Julian
562,Noguera-Julian
563,Noguera-Julian
564,Noguera-Julian
565,Noguera-Julian
566,Noguera-Julian
567,Noguera-Julian
568,Noguera-Julian
569,Noguera-Julian
570,Noguera-Julian
571,Noguera-Julian
572,Noguera-Julian
573,Noguera-Julian
574,Noguera-Julian
575,Noguera-Julian
576,Noguera-Julian
577,Noguera-Julian
578,Noguera-Julian
579,Noguera-Julian
580,Noguera-Julian
581,Noguera-Julian
582,Noguera-Julian
583,Noguera-Julian
584,Noguera-Julian
585,Noguera-Julian
586,Noguera-Julian
587,Noguera-Julian
588,Noguera-Julian
589,Noguera-Julian
590,Noguera-Julian
591,Noguera-Julian
592,Noguera-Julian
593,Noguera-Julian
594,Noguera-Julian
595,Noguera-Julian
596,Noguera-Julian
597,Noguera-Julian
598,Noguera-Julian
599,Noguera-Julian
600,Noguera-Julian
601,Noguera-Julian
602,Noguera-Julian
603,Noguera-Julian
604,Noguera-Julian
605,Noguera-Julian
606,Noguera-Julian
607,Noguera-Julian
608,Noguera-Julian
609,Noguera-Julian
610,Noguera-Julian
611,Noguera-Julian
612,Noguera-Julian
613,Noguera-Julian
614,Noguera-Julian
615,Noguera-Julian
616,Noguera-Julian
617,Noguera-Julian
618,Noguera-Julian
619,Noguera-Julian
620,Noguera-Julian
621,Noguera-Julian
622,Noguera-Julian
623,Noguera-Julian
624,Noguera-Julian
625,Noguera-Julian
626,Noguera-Julian
627,Noguera-Julian
628,Noguera-Julian
629,Noguera-Julian
630,Noguera-Julian
631,Noguera-Julian
632,Noguera-Julian
633,Noguera-Julian
634,Noguera-Julian
635,Noguera-Julian
636,Noguera-Julian
637,Noguera-Julian
638,Noguera-Julian
639,Noguera-Julian
640,Noguera-Julian
641,Noguera-Julian
642,Noguera-Julian
643,Noguera-Julian
644,Noguera-Julian
645,Noguera-Julian
646,Noguera-Julian
647,Noguera-Julian
648,Noguera-Julian
649,Noguera-Julian
650,Noguera-Julian
651,Noguera-Julian
652,Noguera-Julian
653,Noguera-Julian
654,Noguera-Julian
655,Noguera-Julian
656,Noguera-Julian
657,Noguera-Julian
658,Noguera-Julian
659,Noguera-Julian
660,Noguera-Julian
661,Noguera-Julian
662,Noguera-Julian
663,Noguera-Julian
664,Noguera-Julian
665,Noguera-Julian
666,Noguera-Julian
667,Noguera-Julian
668,Noguera-Julian
669,Noguera-Julian
670,Noguera-Julian
671,Noguera-Julian
672,Noguera-Julian
673,Noguera-Julian
674,Noguera-Julian
675,Noguera-Julian
676,Noguera-Julian
677,Noguera-Julian
678,Noguera-Julian
679,Noguera-Julian
680,Noguera-Julian
681,Noguera-Julian
682,Noguera-Julian
683,Noguera-Julian
684,Noguera-Julian
685,Noguera-Julian
686,Noguera-Julian
687,Noguera-Julian
688,Noguera-Julian
689,Noguera-Julian
690,Noguera-Julian
691,Noguera-Julian
692,Noguera-Julian
693,Noguera-Julian
694,Noguera-Julian
695,Noguera-Julian
696,Noguera-Julian
697,Noguera-Julian
698,Noguera-Julian
699,Noguera-Julian
700,Noguera-Julian
701,Noguera-Julian
702,Noguera-Julian
703,Noguera-Julian
704,Noguera-Julian
705,Noguera-Julian
706,Dillon
707,Dillon
708,Dillon
709,Dillon
710,Dillon
711,Dillon
712,Dillon
713,Dillon
714,Dillon
715,Dillon
716,Dillon
717,Dillon
718,Dillon
719,Dillon
720,Dillon
721,Dillon
722,Dillon
723,Dillon
724,Dillon
725,Dillon
726,Dillon
727,Dillon
728,Dillon
729,Dillon
730,Dillon
731,Dillon
732,Dillon
733,Dillon
734,Dillon
735,Dillon
736,Dillon
737,Dillon
738,Dinh
739,Dinh
740,Dinh
741,Dinh
742,Dinh
743,Dinh
744,Dinh
745,Dinh
746,Dinh
747,Dinh
748,Dinh
749,Dinh
750,Dinh
751,Dinh
752,Dinh
753,Dinh
754,Dinh
755,Dinh
756,Dinh
757,Dinh
758,Dinh
759,Dinh
760,Dinh
761,Dinh
762,Dinh
763,Dinh
764,Dinh
765,Dinh
766,Dinh
767,Dinh
768,Dinh
769,Dinh
770,Dinh
771,Dinh
772,Dinh
773,Dinh
774,Pinto-Cardoso
775,Pinto-Cardoso
776,Pinto-Cardoso
777,Pinto-Cardoso
778,Pinto-Cardoso
779,Pinto-Cardoso
780,Pinto-Cardoso
781,Pinto-Cardoso
782,Pinto-Cardoso
783,Pinto-Cardoso
784,Pinto-Cardoso
785,Pinto-Cardoso
786,Pinto-Cardoso
787,Pinto-Cardoso
788,Pinto-Cardoso
789,Pinto-Cardoso
790,Pinto-Cardoso
791,Pinto-Cardoso
792,Pinto-Cardoso
793,Pinto-Cardoso
794,Pinto-Cardoso
795,Pinto-Cardoso
796,Pinto-Cardoso
797,Pinto-Cardoso
798,Pinto-Cardoso
799,Pinto-Cardoso
800,Pinto-Cardoso
801,Pinto-Cardoso
802,Pinto-Cardoso
803,Pinto-Cardoso
804,Pinto-Cardoso
805,Pinto-Cardoso
806,Pinto-Cardoso
807,Pinto-Cardoso
808,Pinto-Cardoso
809,Pinto-Cardoso
810,Pinto-Cardoso
811,Pinto-Cardoso
812,Pinto-Cardoso
813,Pinto-Cardoso
814,Pinto-Cardoso
815,Pinto-Cardoso
816,Pinto-Cardoso
817,Vesterbacka
818,Vesterbacka
819,Vesterbacka
820,Vesterbacka
821,Vesterbacka
822,Vesterbacka
823,Vesterbacka
824,Vesterbacka
825,Vesterbacka
826,Vesterbacka
827,Vesterbacka
828,Vesterbacka
829,Vesterbacka
830,Vesterbacka
831,Vesterbacka
832,Vesterbacka
833,Vesterbacka
834,Vesterbacka
835,Vesterbacka
836,Vesterbacka
837,Vesterbacka
838,Vesterbacka
839,Vesterbacka
840,Vesterbacka
841,Vesterbacka
842,Vesterbacka
843,Vesterbacka
844,Vesterbacka
845,Vesterbacka
846,Vesterbacka
847,Vesterbacka
848,Vesterbacka
849,Vesterbacka
850,Vesterbacka
851,Vesterbacka
852,Vesterbacka
853,Vesterbacka
854,Vesterbacka
855,Vesterbacka
856,Vesterbacka
857,Vesterbacka
858,Vesterbacka
859,Vesterbacka
860,Vesterbacka
861,Vesterbacka
862,Vesterbacka
863,Vesterbacka
864,Vesterbacka
865,Vesterbacka
866,Vesterbacka
867,Vesterbacka
868,Vesterbacka
869,Vesterbacka
870,Vesterbacka
871,Vesterbacka
872,Vesterbacka
873,Vesterbacka
874,Vesterbacka
875,Vesterbacka
876,Vesterbacka
877,Vesterbacka
878,Vesterbacka
879,Mutlu
880,Mutlu
881,Mutlu
882,Mutlu
883,Mutlu
884,Mutlu
885,Mutlu
886,Mutlu
887,Mutlu
888,Mutlu
889,Villar-Garcia
890,Villar-Garcia
891,Villar-Garcia
892,Villar-Garcia
893,Villar-Garcia
894,Villar-Garcia
895,Villar-Garcia
896,Villar-Garcia
897,Villar-Garcia
898,Villar-Garcia
899,Villar-Garcia
900,Villar-Garcia
901,Villar-Garcia
902,Villar-Garcia
903,Villar-Garcia
904,Villar-Garcia
905,Villar-Garcia
906,Villar-Garcia
907,Villar-Garcia
908,Villar-Garcia
909,Villar-Garcia
910,Villar-Garcia
911,Villar-Garcia
912,Villar-Garcia
913,Nowak2017
914,Nowak2017
915,Nowak2017
916,Nowak2017
917,Nowak2017
918,Nowak2017
919,Nowak2017
920,Nowak2017
921,Nowak2017
922,Nowak2017
923,Nowak2017
924,Nowak2017
925,Nowak2017
926,Nowak2017
927,Nowak2017
928,Nowak2017
929,Nowak2017
930,Nowak2017
931,Nowak2017
932,Nowak2017
933,Nowak2017
934,Nowak2017
935,Nowak2017
936,Nowak2017
937,Nowak2017
938,Nowak2017
939,Nowak2017
940,Nowak2017
941,Nowak2017
942,Nowak2017
943,Nowak2017
944,Nowak2017
945,Nowak2017
946,Nowak2017
947,Nowak2017
948,Nowak2017
949,Nowak2017
950,Nowak2017
951,Nowak2017
952,Nowak2017
953,Nowak2017
954,Nowak2017
955,Nowak2017
956,Nowak2017
957,Nowak2017
958,Nowak2017
959,Nowak2017
960,Nowak2017
961,Nowak2017
962,Nowak2017
963,Nowak2017
964,Nowak2017
965,Nowak2017
966,Nowak2017
967,Nowak2017
968,Nowak2017
969,Nowak2017
970,Nowak2017
971,Nowak2017
972,Nowak2017
973,Nowak2017
974,Nowak2017
975,Nowak2017
976,Nowak2017
977,Nowak2017
978,Nowak2017
979,Nowak2017
980,Nowak2017
981,Nowak2017
982,Nowak2017
983,Nowak2017
984,Nowak2017
985,Nowak2017
986,Nowak2017
987,Nowak2017
988,Nowak2017
989,Nowak2017
990,Nowak2017
991,Nowak2017
992,Nowak2017
993,Nowak2017
994,Nowak2017
995,Nowak2017
996,Nowak2017
997,Nowak2017
998,Nowak2017
999,Nowak2017
1000,Nowak2017
1001,Nowak2017
1002,Nowak2017
1003,Nowak2017
1004,Nowak2017
1005,Nowak2017
1006,Nowak2017
1007,Nowak2017
1008,Nowak2017
1009,Nowak2017
1010,Nowak2017
1011,Nowak2017
1012,Nowak2017
1013,Nowak2017
1014,Nowak2017
1015,Nowak2017
1016,Nowak2017
1017,Nowak2017
1018,Nowak2017
1019,Nowak2017
1020,Nowak2017
1021,Nowak2017
1022,Nowak2017
1023,Nowak2017
1024,Nowak2017
1025,Nowak2017
1026,Nowak2017
1027,Nowak2017
1028,Nowak2017
1029,Nowak2017
1030,Nowak2017
1031,Nowak2017
